movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
Godzilla Minus One,2023,8.7,Age rating not found,"Apple TV+,Netflix",2h 4min,"Comedy, Crime, Drama, Action & Adventure",Japan,https://www.justwatch.com/in/movie/godzilla-minus-one
Maharaj,2024,8.7,Age rating not found,"Apple TV+,Netflix",2h 12min,"Reality TV, Kids & Family",India,https://www.justwatch.com/in/movie/maharaj
Hit Man,2024,7.4,A,"Apple TV+,Netflix",1h 56min,"Drama, Romance",United States,https://www.justwatch.com/in/movie/hit-man
Oppenheimer,2023,8.5,UA,"Apple TV+,Zee5,Amazon Video,Jio Cinema,Hungama Play,Apple TV",3h 0min,"Crime, Drama, Mystery & Thriller","United States, United Kingdom",https://www.justwatch.com/in/movie/oppenheimer
Laapataa Ladies,2024,7.5,UA,"Apple TV+,Netflix",2h 2min,"Science-Fiction, Fantasy, Drama",India,https://www.justwatch.com/in/movie/laapataa-ladies
Addicted,2014,8.4,Age rating not found,"Apple TV+,Lionsgate Play Amazon Channel,Amazon Video,Amazon Prime Video,Lionsgate Play Apple TV Channel,Netflix",1h 45min,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/addicted
Wild Wild Punjab,2024,4.6,Age rating not found,"Apple TV+,Netflix",1h 51min,Mystery & Thriller,India,https://www.justwatch.com/in/movie/wild-wild-punjab
Guruvayoor Ambalanadayil,2024,8.0,Age rating not found,"Hotstar,Apple TV+",2h 12min,Drama,India,https://www.justwatch.com/in/movie/guruvayoor-ambalanadayil
Mr. & Mrs. Mahi,2024,8.3,U,"Apple TV+,Netflix",2h 19min,"Drama, Comedy, Romance",India,https://www.justwatch.com/in/movie/mr-and-mrs-mahi
Animal,2023,6.5,A,"Apple TV+,Netflix",3h 24min,"Drama, Action & Adventure, Comedy",India,https://www.justwatch.com/in/movie/animal-2022
Monster,2023,7.0,Age rating not found,"Apple TV+,Amazon Prime Video",2h 7min,"Science-Fiction, Drama, Action & Adventure",Japan,https://www.justwatch.com/in/movie/monster-2023
Inside Out 2,2024,8.7,U,"Crunchyroll,Bookmyshow",1h 37min,"Mystery & Thriller, Crime, Drama, Science-Fiction",United States,https://www.justwatch.com/in/movie/inside-out-2
Chandu Champion,2024,7.5,UA,"Amazon Video,Bookmyshow,Apple TV+",2h 22min,"Action & Adventure, Drama, Science-Fiction",India,https://www.justwatch.com/in/movie/chandu-champion
Maidaan,2024,8.5,Age rating not found,"Amazon Video,Apple TV+,Amazon Prime Video",3h 1min,"Comedy, Drama, Sport, Action & Adventure",India,https://www.justwatch.com/in/movie/maidaan
Satyabhama,2024,8.4,UA,"Apple TV+,Amazon Prime Video",2h 12min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/satyabhama
The Ministry of Ungentlemanly Warfare,2024,8.7,Age rating not found,"Apple TV+,Amazon Prime Video",2h 0min,"Action & Adventure, Comedy, Drama","United Kingdom, Turkey, United States",https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare
A Quiet Place: Day One,2024,8.9,Age rating not found,Apple TV+,1h 39min,"Crime, Drama, Mystery & Thriller","Canada, United States, United Kingdom",https://www.justwatch.com/in/movie/a-quiet-place-day-one
Aranmanai 4,2024,7.7,Age rating not found,"Hotstar,Bookmyshow,Apple TV+",2h 28min,"Drama, Science-Fiction, Mystery & Thriller",India,https://www.justwatch.com/in/movie/aranmanai-4
Salaar,2023,7.7,A,"Apple TV+,Hotstar,Bookmyshow,Netflix",2h 55min,Drama,India,https://www.justwatch.com/in/movie/salaar
Rockstar,2011,5.8,UA,"Eros Now Select Apple TV Channel,Apple TV+,Zee5,Bookmyshow,Jio Cinema,Apple TV",2h 39min,"Drama, Science-Fiction, Action & Adventure",India,https://www.justwatch.com/in/movie/rockstar
Dune,2021,8.5,UA,"Apple TV+,Amazon Video,Apple TV,Netflix",2h 35min,"Drama, Science-Fiction, Western",United States,https://www.justwatch.com/in/movie/dune-2021
Bhaiyya Ji,2024,6.5,Age rating not found,"Apple TV+,Zee5",2h 30min,"Mystery & Thriller, Science-Fiction, Drama",India,https://www.justwatch.com/in/movie/bhaiyaaji
Triangle,2009,8.9,A,Apple TV+,1h 38min,"Drama, Crime, Mystery & Thriller","Australia, United Kingdom",https://www.justwatch.com/in/movie/triangle
Premalu,2024,7.7,U,"Hotstar,aha,Apple TV+",2h 36min,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",India,https://www.justwatch.com/in/movie/premalu
Perfect Days,2023,7.7,Age rating not found,"Apple TV+,MUBI,MUBI Amazon Channel",2h 4min,"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller","Germany, Japan",https://www.justwatch.com/in/movie/perfect-days
Laila Majnu,2018,8.3,UA,"Apple TV+,Zee5",2h 19min,"Action & Adventure, Drama",India,https://www.justwatch.com/in/movie/laila-majnu
